Player,Pos,Age,Team,G,MP,PER,OWS,DWS,WS,BPM,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,Year,Allstar,Years_In_NBA,PR
Mark Madsen,PF,25,LAL,70,641,9.2,0.8,0.3,1.1,-2.8,-0.1,0.8,1.6,0.0,0.0,0.8,1.6,0.4,0.5,1.1,1.1,2.2,0.3,0.1,0.1,2001,0,1,-13.844125
Mark Pope,PF,28,MIL,63,942,7.2,0.8,0.5,1.3,-1.7,0.1,1.0,2.3,0.1,0.4,0.9,1.9,0.3,0.6,0.9,1.4,2.3,0.6,0.3,0.4,2001,0,3,-11.653849000000001
Mark Strickland,SF,30,TOT,55,719,11.9,0.1,0.5,0.6,-5.3,-0.6,1.9,4.3,0.0,0.0,1.9,4.3,0.8,1.3,1.0,1.9,2.9,0.4,0.3,0.4,2001,0,6,-10.53316
Mateen Cleaves,PG,23,DET,78,1268,9.0,-1.3,1.2,-0.1,-5.2,-1.0,2.1,5.1,0.1,0.2,2.0,4.9,1.2,1.8,0.3,1.4,1.7,2.7,0.6,0.0,2001,0,1,-9.1771308
Matt Bullard,PF,33,HOU,61,1000,13.0,2.2,0.4,2.6,-0.3,0.4,2.1,5.0,1.4,3.5,0.7,1.5,0.2,0.2,0.4,1.8,2.1,0.7,0.2,0.1,2001,0,10,-5.1645819
Matt Geiger,C,31,PHI,35,542,11.5,-0.1,0.8,0.7,-5.5,-0.5,2.5,6.4,0.0,0.1,2.5,6.3,1.1,1.5,1.4,2.5,4.0,0.4,0.3,0.2,2001,0,9,-8.6466002
Matt Harpring,SG,24,CLE,56,1615,13.3,1.8,0.8,2.6,-0.6,0.6,4.3,9.4,0.2,0.9,4.0,8.4,2.4,2.9,1.6,2.7,4.3,1.8,0.8,0.3,2001,0,3,4.67671168
Matt Maloney,PG,29,ATL,55,1403,10.4,0.7,0.8,1.5,-1.2,0.3,2.7,6.3,0.9,2.6,1.7,3.7,0.5,0.6,0.3,1.9,2.1,2.8,1.0,0.1,2001,0,5,-3.1868404999999997
Maurice Taylor,SF,24,HOU,69,1972,14.9,1.8,1.4,3.2,-2.2,-0.1,5.7,11.6,0.0,0.1,5.7,11.5,1.7,2.3,1.6,3.9,5.5,1.5,0.4,0.6,2001,0,4,7.15295932
Metta World Peace,SF,21,CHI,76,2363,13.6,-0.1,2.0,1.9,-0.7,0.7,4.3,10.7,0.6,1.9,3.7,8.8,2.8,3.7,0.8,3.1,3.9,3.0,2.0,0.6,2001,0,2,11.446259399999999
Michael Curry,SG,32,DET,68,1485,7.5,0.8,0.9,1.7,-3.6,-0.6,2.1,4.7,0.1,0.1,2.1,4.6,0.9,1.1,0.3,1.5,1.8,1.9,0.4,0.0,2001,0,7,-9.272443199999998
Michael Dickerson,SG,25,VAN,70,2618,12.4,1.2,0.7,1.8,-1.6,0.2,6.1,14.6,1.2,3.3,4.8,11.3,2.9,3.9,1.0,2.3,3.3,3.3,0.9,0.4,2001,0,3,12.3322717
Michael Doleac,C,23,ORL,77,1398,9.9,-0.2,1.7,1.5,-4.4,-0.9,2.9,6.8,0.0,0.0,2.9,6.8,0.6,0.8,0.9,2.6,3.5,0.8,0.5,0.5,2001,0,3,-5.3138293
Michael Finley,SF,27,DAL,82,3443,18.2,5.6,2.9,8.5,2.3,3.7,8.7,18.9,1.1,3.2,7.6,15.7,3.1,4.0,1.3,3.9,5.2,4.4,1.4,0.4,2001,1,6,31.5946178
Michael Hawkins,PG,28,CLE,10,76,3.7,0.0,0.0,0.0,-7.5,-0.1,0.3,0.9,0.2,0.4,0.1,0.5,0.0,0.0,0.2,0.3,0.5,1.3,0.2,0.0,2001,0,4,-22.227755
Michael Olowokandi,C,25,LAC,82,2127,10.0,-2.6,2.2,-0.4,-4.9,-1.6,3.8,8.6,0.0,0.0,3.8,8.6,1.0,1.9,2.0,4.4,6.4,0.6,0.4,1.3,2001,0,3,0.86123029
Michael Redd,SG,21,MIL,6,35,3.4,-0.1,0.0,-0.1,-14.3,-0.1,0.8,3.2,0.0,0.5,0.8,2.7,0.5,1.0,0.5,0.2,0.7,0.2,0.2,0.0,2001,0,1,-22.232509
Michael Ruffin,PF,24,CHI,45,879,10.1,0.2,0.9,1.0,-1.7,0.1,0.9,2.0,0.0,0.0,0.9,2.0,0.9,1.7,2.2,3.6,5.8,0.9,0.7,0.8,2001,0,2,-5.6546121
Michael Smith,PF,28,WAS,79,1610,14.0,2.0,1.6,3.6,1.1,1.3,1.3,2.8,0.0,0.0,1.3,2.7,1.1,1.9,2.2,4.9,7.1,1.3,0.7,0.5,2001,0,9,2.51521999
Michael Stewart,C,25,TOR,26,123,8.7,0.0,0.1,0.1,-6.0,-0.1,0.4,1.3,0.0,0.0,0.4,1.3,0.4,0.7,0.6,0.5,1.1,0.1,0.2,0.1,2001,0,4,-19.385264000000003
Mike Bibby,PG,22,VAN,82,3190,16.8,4.0,1.4,5.3,0.7,2.2,6.4,14.1,1.3,3.5,5.1,10.6,1.7,2.3,0.6,3.1,3.7,8.4,1.3,0.1,2001,0,3,20.6994088
Mike Miller,SF,20,ORL,82,2390,13.2,3.3,1.9,5.3,-0.4,1.0,4.5,10.3,1.8,4.4,2.7,5.9,1.1,1.6,0.8,3.2,4.0,1.7,0.6,0.2,2001,0,1,10.4581008
Mike Penberthy,PG,26,LAL,53,851,11.2,1.3,0.2,1.6,-2.0,0.0,1.7,4.2,1.0,2.6,0.7,1.6,0.5,0.6,0.2,1.0,1.2,1.3,0.4,0.0,2001,0,1,-9.170255599999999
Mike Smith,SF,24,WAS,17,180,8.1,-0.1,0.0,-0.1,-5.5,-0.2,1.1,3.5,0.2,1.1,0.9,2.4,0.6,0.9,0.6,0.7,1.3,0.6,0.3,0.2,2001,0,1,-16.377594000000002
Mikki Moore,C,25,DET,81,1154,12.9,1.1,1.6,2.8,-1.2,0.2,1.6,3.3,0.0,0.0,1.6,3.3,1.2,1.6,1.5,2.4,3.9,0.4,0.3,0.8,2001,0,3,-3.7611462999999996
Milt Palacio,PG,22,BOS,58,1141,12.3,1.1,0.7,1.8,-3.5,-0.4,2.2,4.6,0.2,0.6,2.0,4.0,1.3,1.6,0.4,1.3,1.8,2.6,0.8,0.0,2001,0,2,-6.80757
Mitch Richmond,SG,35,WAS,37,1216,14.9,1.4,0.2,1.6,-1.4,0.2,5.5,13.6,1.2,3.6,4.3,10.0,3.9,4.3,0.4,2.5,2.9,3.0,1.2,0.2,2001,0,13,9.21962898
Monty Williams,SF,29,ORL,82,1211,11.0,0.1,1.2,1.3,-3.9,-0.6,2.0,4.4,0.0,0.2,2.0,4.3,1.0,1.6,1.0,1.9,3.0,1.0,0.4,0.2,2001,0,7,-7.280414100000001
Moochie Norris,PG,27,HOU,82,1654,16.2,3.1,1.2,4.4,0.1,0.9,2.2,5.0,0.3,1.1,1.9,4.0,1.8,2.4,0.5,1.9,2.4,3.5,0.8,0.0,2001,0,4,1.64027237
Mookie Blaylock,PG,33,GSW,69,2352,15.8,1.9,1.6,3.5,0.8,1.7,4.6,11.6,1.1,3.3,3.5,8.3,0.8,1.1,1.0,2.9,3.9,6.7,2.4,0.3,2001,0,12,15.296794699999998
Morris Peterson,SG,23,TOR,80,1809,14.1,2.3,1.3,3.6,-0.1,0.8,3.6,8.4,0.8,2.1,2.8,6.4,1.3,1.8,1.4,1.8,3.2,1.3,0.8,0.3,2001,0,1,4.67044024
Muggsy Bogues,PG,36,TOR,3,34,-0.5,-0.1,0.0,-0.1,-8.3,-0.1,0.0,0.7,0.0,0.3,0.0,0.3,0.0,0.0,0.0,1.0,1.0,1.7,0.7,0.0,2001,0,14,-22.650098
Nazr Mohammed,C,23,TOT,58,912,19.2,1.1,1.4,2.5,-2.4,-0.1,3.0,6.4,0.0,0.0,3.0,6.3,1.5,2.2,2.0,3.3,5.3,0.3,0.5,0.6,2001,0,3,0.34147111
Nick Anderson,SG,33,SAC,21,169,6.4,-0.3,0.3,0.0,-3.1,0.0,0.7,2.7,0.5,1.9,0.2,0.9,0.0,0.0,0.1,1.0,1.2,0.6,0.5,0.2,2001,0,12,-16.552391
Nick Van Exel,PG,29,DEN,71,2688,18.5,6.1,0.3,6.4,1.1,2.1,6.5,15.7,1.9,5.0,4.6,10.6,2.9,3.5,0.6,2.8,3.4,8.5,0.9,0.3,2001,0,8,23.6097708
Obinna Ekezie,PF,25,TOT,33,281,12.4,0.3,0.1,0.4,-5.3,-0.2,1.0,2.5,0.0,0.0,1.0,2.5,1.1,1.6,0.9,1.4,2.4,0.3,0.2,0.2,2001,0,2,-14.245406
Olden Polynice,C,36,UTA,81,1619,9.9,0.2,1.8,2.0,-1.6,0.2,2.5,5.1,0.0,0.0,2.5,5.1,0.2,0.8,1.9,2.7,4.7,0.4,0.3,1.0,2001,0,14,-2.5939509
Olumide Oyedeji,C,19,SEA,30,221,10.6,0.1,0.3,0.4,-3.9,-0.1,0.6,1.2,0.0,0.0,0.6,1.2,0.3,0.4,0.8,1.4,2.2,0.1,0.2,0.3,2001,0,1,-16.586776999999998
Othella Harrington,C,27,TOT,74,1815,12.0,0.8,1.7,2.5,-2.7,-0.3,3.3,6.9,0.0,0.0,3.3,6.8,2.3,3.0,1.9,3.4,5.2,0.8,0.5,0.6,2001,0,5,2.17693736
P.J. Brown,C,31,CHH,80,2811,13.3,3.4,4.7,8.0,1.5,2.5,3.1,7.0,0.0,0.1,3.1,7.0,2.2,2.6,3.2,6.1,9.3,1.6,1.0,1.2,2001,0,8,18.4188697
Pat Garrity,SF,24,ORL,76,1579,10.1,1.2,1.3,2.5,-3.3,-0.5,2.9,7.6,1.3,2.9,1.7,4.6,1.1,1.3,0.7,2.1,2.8,0.7,0.5,0.2,2001,0,3,-1.229563
Paul McPherson,PG,22,TOT,55,595,13.6,0.4,0.5,0.9,-2.8,-0.1,2.0,3.9,0.0,0.2,1.9,3.7,0.8,1.1,0.7,0.7,1.4,0.7,0.5,0.1,2001,0,1,-10.88373
Paul Pierce,SF,23,BOS,82,3120,22.3,6.9,3.5,10.4,3.2,4.1,8.4,18.5,1.8,4.7,6.6,13.8,6.7,9.0,1.1,5.2,6.4,3.1,1.7,0.8,2001,0,3,42.1264003
Peja Stojakovic,SF,23,SAC,75,2905,18.4,6.8,3.3,10.1,2.5,3.2,7.5,15.9,1.9,4.8,5.5,11.1,3.6,4.2,1.2,4.5,5.8,2.2,1.2,0.2,2001,0,3,30.0538406
Pepe Sanchez,PG,23,TOT,29,150,12.6,0.1,0.2,0.3,-3.4,-0.1,0.3,1.0,0.0,0.0,0.3,0.9,0.1,0.1,0.1,0.4,0.5,1.4,0.4,0.0,2001,0,1,-18.450988
Pervis Ellison,C,33,SEA,9,40,2.4,-0.1,0.0,0.0,-6.6,0.0,0.2,0.8,0.0,0.0,0.2,0.8,0.2,0.2,0.2,1.1,1.3,0.3,0.0,0.2,2001,0,11,-22.526162
Popeye Jones,PF,30,WAS,45,638,13.1,0.8,0.5,1.2,-1.6,0.1,1.3,3.4,0.0,0.1,1.3,3.3,0.9,1.2,1.8,3.0,4.9,0.7,0.4,0.2,2001,0,8,-7.529132000000001
Quentin Richardson,SG,20,LAC,76,1358,16.5,2.1,1.0,3.0,-0.3,0.6,3.1,6.9,0.7,2.0,2.4,4.9,1.3,2.1,1.4,2.0,3.4,0.8,0.6,0.1,2001,0,1,1.73972325
Quincy Lewis,SF,23,UTA,35,402,7.1,0.0,0.3,0.3,-3.3,-0.1,1.4,3.5,0.3,0.7,1.2,2.8,0.4,0.6,0.4,0.9,1.3,0.5,0.3,0.3,2001,0,2,-14.674454
Raef LaFrentz,C,24,DEN,78,2457,17.6,4.3,2.5,6.8,2.0,2.5,5.0,10.4,0.7,1.8,4.3,8.6,2.3,3.4,2.2,5.6,7.8,1.4,0.5,2.6,2001,0,3,22.086485500000002
Rafer Alston,PG,24,MIL,37,288,12.1,0.1,0.2,0.3,-4.5,-0.2,0.8,2.3,0.2,0.8,0.6,1.5,0.2,0.4,0.1,0.7,0.8,1.8,0.4,0.0,2001,0,2,-15.96478
Raja Bell,SG,24,PHI,5,30,-0.6,-0.1,0.0,-0.1,-9.1,-0.1,0.4,1.4,0.2,0.6,0.2,0.8,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2001,0,1,-24.407324
Randy Brown,PG,32,BOS,54,1238,8.2,-0.1,1.0,0.9,-3.9,-0.6,1.9,4.4,0.0,0.1,1.9,4.3,0.4,0.7,0.4,1.4,1.8,2.9,1.1,0.2,2001,0,10,-9.1802194
Randy Livingston,PG,25,GSW,2,7,-3.7,0.0,0.0,0.0,-14.3,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,2001,0,5,-26.956021999999997
Rashard Lewis,PF,21,SEA,78,2720,17.3,5.9,2.1,8.0,2.5,3.1,5.5,11.4,1.6,3.7,3.9,7.7,2.3,2.7,1.8,5.1,6.9,1.6,1.2,0.6,2001,0,3,23.128176500000002
Rasheed Wallace,PF,26,POR,77,2940,20.9,6.8,4.2,11.0,4.1,4.5,7.7,15.3,0.7,2.1,7.0,13.2,3.2,4.2,1.9,5.9,7.8,2.8,1.2,1.8,2001,1,6,35.177062799999995
Rasho Nesterovic,C,24,MIN,73,1233,10.4,0.2,1.3,1.5,-2.7,-0.2,2.0,4.4,0.0,0.0,2.0,4.4,0.5,0.9,1.4,2.6,3.9,0.6,0.3,0.9,2001,0,3,-5.8090814
Ray Allen,SG,25,MIL,82,3129,22.9,11.5,2.2,13.7,5.6,6.0,7.7,16.0,2.5,5.7,5.2,10.3,4.2,4.8,1.2,4.0,5.2,4.6,1.5,0.2,2001,1,5,40.0085892
Reggie Miller,SG,35,IND,81,3181,17.3,8.1,2.2,10.3,2.4,3.5,6.4,14.5,2.1,5.7,4.3,8.8,4.0,4.3,0.5,3.0,3.5,3.2,1.0,0.2,2001,0,14,27.3673751
Reggie Slater,PF,30,MIN,55,686,14.1,1.2,0.7,1.8,-2.3,-0.1,1.6,3.2,0.0,0.0,1.6,3.2,1.3,2.0,1.4,2.0,3.4,0.5,0.3,0.2,2001,0,6,-7.7498452
Richard Hamilton,SF,22,WAS,78,2519,15.7,2.3,0.1,2.4,-2.2,-0.1,7.0,16.0,0.5,1.9,6.5,14.1,3.6,4.1,1.0,2.1,3.1,2.9,1.0,0.1,2001,0,2,12.7927561
Rick Brunson,PG,28,TOT,22,208,6.3,-0.4,0.2,-0.2,-7.1,-0.3,0.8,2.5,0.1,0.6,0.7,1.8,0.4,0.7,0.2,0.7,1.0,1.4,0.4,0.0,2001,0,4,-18.607488
Rick Fox,SF,31,LAL,82,2291,13.8,3.7,1.4,5.1,1.1,1.8,3.5,7.9,1.4,3.7,2.1,4.2,1.2,1.5,1.0,3.0,4.0,3.2,0.9,0.4,2001,0,10,10.182532499999999
Ricky Davis,SG,21,MIA,7,70,18.9,0.1,0.1,0.2,0.3,0.0,1.7,4.1,0.1,0.1,1.6,4.0,1.0,1.1,0.1,0.9,1.0,1.6,0.7,0.3,2001,0,3,-11.56835
Robert Horry,PF,30,LAL,79,1587,11.0,1.1,1.5,2.6,0.3,0.9,1.9,4.8,0.7,2.0,1.2,2.8,0.7,1.1,1.2,2.6,3.7,1.6,0.7,0.7,2001,0,9,0.16811377
Robert Pack,PG,31,DEN,74,1260,14.8,0.4,0.7,1.1,-3.2,-0.4,2.4,5.8,0.2,0.4,2.3,5.3,1.4,1.9,0.4,1.4,1.9,4.0,0.9,0.0,2001,0,10,-4.0961731
Robert Traylor,C,23,CLE,70,1212,14.1,0.3,1.5,1.9,0.8,0.8,2.3,4.6,0.0,0.0,2.3,4.6,1.1,2.0,1.8,2.5,4.3,0.9,0.7,1.1,2001,0,3,-0.1153999
Rod Strickland,PG,34,TOT,54,1371,16.1,1.7,0.5,2.2,-1.8,0.1,3.4,7.9,0.1,0.3,3.3,7.6,2.4,3.2,0.7,1.9,2.6,5.6,1.0,0.1,2001,0,13,2.15204537
Rodney Buford,SF,23,PHI,47,573,11.3,0.1,0.7,0.8,-4.3,-0.3,2.2,5.1,0.3,0.8,1.9,4.3,0.5,0.6,0.3,1.2,1.6,0.4,0.4,0.1,2001,0,2,-11.665755
Rodney Rogers,SF,29,PHO,82,2183,14.6,1.0,3.7,4.7,1.0,1.6,4.6,10.7,0.7,2.3,3.9,8.4,2.3,3.0,1.1,3.2,4.4,2.2,1.2,0.6,2001,0,8,13.6017828
Ron Mercer,SG,24,CHI,61,2535,14.8,1.5,0.4,1.8,-2.3,-0.2,8.2,18.4,0.2,0.8,8.0,17.6,3.1,3.7,1.2,2.7,3.9,3.3,1.3,0.4,2001,0,4,14.570452599999998
Roshown McLeod,SF,25,TOT,35,922,10.5,-0.1,0.5,0.4,-3.3,-0.3,4.1,9.5,0.1,0.6,4.1,8.9,1.3,1.5,1.1,2.3,3.4,1.7,0.7,0.2,2001,0,3,-3.7664364000000004
Ruben Garces,PF,27,TOT,13,73,9.7,-0.1,0.1,0.0,-2.3,0.0,0.5,1.7,0.0,0.0,0.5,1.7,0.2,0.6,1.2,1.0,2.2,0.4,0.2,0.2,2001,0,1,-17.058751
Ruben Patterson,SF,25,SEA,76,2059,19.3,3.8,1.7,5.5,2.2,2.2,4.9,9.9,0.0,0.5,4.8,9.4,3.2,4.8,2.4,2.6,5.0,2.1,1.4,0.6,2001,0,3,16.2633623
Ruben Wolkowyski,PF,27,SEA,34,305,6.4,-0.3,0.2,-0.1,-7.5,-0.4,0.7,2.3,0.0,0.1,0.7,2.3,0.7,1.0,0.4,1.0,1.4,0.1,0.2,0.5,2001,0,1,-17.92539
Ryan Bowen,SF,25,DEN,57,696,13.3,1.2,0.4,1.7,0.9,0.5,1.4,2.5,0.1,0.2,1.3,2.3,0.5,0.8,1.1,0.9,2.0,0.5,0.6,0.2,2001,0,2,-9.2385977
Sam Cassell,PG,31,MIL,76,2709,20.1,7.0,1.4,8.5,1.1,2.1,7.1,14.9,0.4,1.3,6.7,13.6,3.6,4.3,0.6,3.2,3.8,7.6,1.2,0.1,2001,0,8,23.5267182
Sam Jacobson,PG,25,MIN,14,59,10.7,0.1,0.0,0.2,-1.4,0.0,0.6,1.3,0.0,0.0,0.6,1.3,0.1,0.2,0.2,0.2,0.4,0.3,0.2,0.0,2001,0,3,-19.6715
Sam Mitchell,SF,37,MIN,82,983,8.2,0.0,0.6,0.6,-4.9,-0.7,1.4,3.5,0.1,0.5,1.3,3.0,0.5,0.7,0.3,1.2,1.5,0.7,0.3,0.1,2001,0,12,-12.936161
Samaki Walker,PF,24,SAS,61,963,12.2,0.2,1.7,1.9,-2.6,-0.2,2.0,4.1,0.0,0.0,2.0,4.1,1.3,2.0,1.1,2.9,4.0,0.5,0.2,0.7,2001,0,5,-5.538983
Scot Pollard,C,25,SAC,77,1658,15.0,2.5,2.9,5.4,0.6,1.1,2.4,5.1,0.0,0.0,2.4,5.1,1.7,2.2,2.2,3.8,6.0,0.6,0.6,1.3,2001,0,4,6.67289251
Scott Burrell,SF,30,CHH,4,41,12.8,0.1,0.1,0.1,-1.0,0.0,1.8,3.8,0.5,1.5,1.3,2.3,0.3,1.0,0.3,0.5,0.8,0.3,0.8,0.0,2001,0,8,-13.63809
Scott Padgett,PF,24,UTA,27,127,17.6,0.2,0.2,0.4,0.5,0.1,0.7,1.6,0.2,0.3,0.5,1.3,0.6,0.7,0.7,0.7,1.4,0.2,0.2,0.1,2001,0,2,-14.44541
Scott Williams,C,32,MIL,66,1272,14.2,1.7,1.7,3.4,-2.0,0.0,2.6,5.5,0.0,0.1,2.6,5.4,0.9,1.1,1.5,4.0,5.5,0.5,0.7,0.5,2001,0,11,-0.46600119999999995
Scottie Pippen,SF,35,POR,64,2133,15.3,2.4,2.7,5.1,2.7,2.6,4.2,9.3,1.0,2.9,3.2,6.4,1.9,2.5,1.1,4.1,5.2,4.6,1.5,0.5,2001,0,14,15.7261644
Sean Colson,PG,25,TOT,13,44,6.8,-0.1,0.0,-0.1,-6.3,0.0,0.5,1.8,0.1,0.4,0.4,1.5,0.2,0.3,0.2,0.3,0.5,0.8,0.1,0.0,2001,0,1,-21.018570999999998
Sean Elliott,SF,32,SAS,52,1229,12.4,1.3,1.7,3.0,0.8,0.9,2.8,6.5,1.1,2.5,1.8,4.0,1.2,1.6,0.3,2.9,3.3,1.6,0.4,0.5,2001,0,12,0.47026994
Sean Rooks,C,31,LAC,82,1553,11.5,0.8,1.5,2.3,-1.3,0.3,2.1,4.8,0.0,0.0,2.0,4.8,1.3,1.7,1.1,2.6,3.7,0.9,0.4,0.8,2001,0,9,-2.6211615000000004
Shammond Williams,PG,25,SEA,69,1238,15.4,2.6,0.3,2.9,-1.1,0.3,2.3,5.3,0.9,1.9,1.4,3.4,1.2,1.4,0.5,1.4,1.9,2.8,0.4,0.1,2001,0,3,-2.5715613999999998
Shandon Anderson,SG,27,HOU,82,2396,11.9,1.9,2.0,3.9,0.6,1.6,3.2,7.2,0.6,2.1,2.6,5.1,1.7,2.3,0.9,3.2,4.1,2.3,1.0,0.5,2001,0,5,7.28494439
Shaquille O'Neal,C,28,LAL,74,2924,30.2,11.1,3.9,14.9,7.3,6.8,11.0,19.2,0.0,0.0,11.0,19.2,6.7,13.1,3.9,8.8,12.7,3.7,0.6,2.8,2001,1,9,58.927733499999995
Shareef Abdur-Rahim,SF,24,VAN,81,3241,19.1,5.6,2.9,8.5,2.2,3.5,7.5,15.8,0.1,0.8,7.3,15.0,5.5,6.6,2.2,6.9,9.1,3.1,1.1,1.0,2001,0,5,33.3440407
Shawn Bradley,C,28,DAL,82,2001,16.2,2.5,3.8,6.3,1.3,1.7,2.7,5.5,0.0,0.1,2.7,5.4,1.7,2.2,2.0,5.5,7.4,0.5,0.4,2.8,2001,0,8,12.8977297
Shawn Kemp,PF,31,POR,68,1083,11.4,-0.8,1.7,0.9,-4.4,-0.7,2.5,6.1,0.1,0.2,2.4,5.9,1.5,1.9,0.9,2.9,3.8,1.0,0.7,0.3,2001,0,12,-4.7990634000000005
Shawn Marion,SF,22,PHO,79,2857,21.0,5.3,6.4,11.7,4.2,4.5,7.1,14.7,0.3,1.0,6.8,13.6,3.0,3.7,2.8,7.9,10.7,2.0,1.7,1.4,2001,0,2,37.265197
Shawnelle Scott,C,28,SAS,27,144,12.0,-0.1,0.3,0.2,-3.1,0.0,0.6,1.5,0.0,0.0,0.6,1.5,0.3,0.8,0.9,1.0,1.9,0.1,0.2,0.2,2001,0,3,-16.463741
Sherman Douglas,PG,34,NJN,59,1094,9.9,-0.1,0.3,0.2,-5.7,-1.0,2.1,5.1,0.1,0.7,1.9,4.5,1.5,1.9,0.4,0.9,1.3,2.4,0.6,0.1,2001,0,12,-9.925685000000001
Soumaila Samake,C,22,NJN,34,226,9.0,0.0,0.2,0.1,-7.5,-0.3,0.5,1.4,0.0,0.0,0.5,1.4,0.3,0.7,0.6,0.9,1.6,0.0,0.1,0.4,2001,0,1,-18.581927
Stacey Augmon,SG,32,POR,66,1182,12.3,1.3,1.2,2.5,-0.2,0.6,1.9,4.0,0.0,0.1,1.9,4.0,0.9,1.3,0.9,1.5,2.4,1.5,0.7,0.3,2001,0,10,-5.1538014
Stanislav Medvedenko,PF,21,LAL,7,39,21.8,0.1,0.0,0.1,-6.3,0.0,1.7,3.6,0.1,0.1,1.6,3.4,1.0,1.7,0.1,1.1,1.3,0.3,0.1,0.1,2001,0,1,-14.830720999999999
Stephen Jackson,SF,22,NJN,77,1660,12.1,-0.4,1.3,0.9,-2.1,-0.1,3.2,7.4,0.7,2.0,2.5,5.4,1.3,1.8,0.5,2.2,2.7,1.8,1.1,0.2,2001,0,1,-0.3737656
Stephon Marbury,PG,23,NJN,67,2557,22.7,7.2,0.7,7.8,3.7,3.7,8.4,19.1,1.6,5.0,6.8,14.1,5.4,6.8,0.8,2.3,3.1,7.6,1.2,0.1,2001,1,5,33.092302399999994
Steve Francis,PG,23,HOU,80,3194,21.6,9.2,3.0,12.2,6.6,7.0,6.9,15.2,1.7,4.2,5.2,11.0,4.5,5.5,2.4,4.5,6.9,6.5,1.8,0.4,2001,0,2,41.9004526
Steve Goodrich,PF,24,CHI,12,133,4.1,-0.1,0.0,-0.1,-7.5,-0.2,0.6,1.5,0.1,0.3,0.5,1.3,0.3,0.6,0.6,1.2,1.8,0.5,0.2,0.1,2001,0,1,-20.028663
Steve Kerr,PG,35,SAS,55,650,10.6,0.8,0.6,1.5,-1.5,0.1,1.2,2.9,0.6,1.4,0.6,1.5,0.3,0.3,0.1,0.5,0.6,1.0,0.3,0.0,2001,0,13,-12.627252
Steve Nash,PG,26,DAL,70,2387,19.6,6.8,1.6,8.4,2.2,2.5,5.5,11.3,1.3,3.1,4.2,8.2,3.3,3.7,0.7,2.5,3.2,7.3,1.0,0.1,2001,0,5,20.762708899999996
Steve Smith,SG,31,POR,81,2542,15.9,6.6,1.6,8.2,1.1,2.0,4.4,9.7,1.0,2.8,3.5,6.9,3.8,4.3,1.1,2.3,3.4,2.6,0.6,0.3,2001,0,10,15.7429943
Stromile Swift,PF,21,VAN,80,1312,13.1,0.2,1.6,1.9,-1.5,0.2,1.9,4.2,0.0,0.1,1.9,4.2,1.1,1.8,1.4,2.2,3.6,0.4,0.8,1.0,2001,0,1,-2.4574333999999998
Tariq Abdul-Wahad,SG,26,DEN,29,420,5.8,-0.7,0.3,-0.4,-5.9,-0.4,1.5,3.8,0.1,0.3,1.3,3.5,0.7,1.2,0.5,1.6,2.0,0.8,0.5,0.4,2001,0,4,-14.710073999999999
Terrance Roberson,SF,24,CHH,3,13,-15.0,-0.1,0.0,-0.1,-17.7,-0.1,0.0,0.7,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,2001,0,1,-30.426755
Terrell Brandon,PG,30,MIN,78,2821,20.0,5.8,2.7,8.5,2.5,3.2,6.6,14.5,0.4,1.2,6.1,13.4,2.5,2.9,0.8,3.1,3.8,7.5,2.1,0.3,2001,0,10,25.3684272
Terry Davis,PF,33,DEN,19,228,6.7,0.2,0.0,0.2,-4.1,-0.1,0.6,1.3,0.0,0.0,0.6,1.3,0.5,1.2,1.3,1.5,2.8,0.4,0.1,0.1,2001,0,10,-16.90266
Terry Mills,PF,33,IND,14,113,1.1,-0.4,0.1,-0.2,-8.2,-0.2,0.8,2.4,0.2,1.2,0.6,1.2,0.0,0.0,0.3,1.2,1.5,0.4,0.2,0.1,2001,0,11,-20.707622
Theo Ratliff,C,27,PHI,50,1800,16.3,1.7,3.5,5.2,3.3,2.4,4.6,9.1,0.0,0.0,4.6,9.1,3.3,4.3,2.5,5.8,8.3,1.2,0.6,3.7,2001,1,6,20.669809899999997
Tim Duncan,PF,24,SAS,82,3174,23.8,6.2,7.1,13.2,5.4,5.9,8.6,17.1,0.1,0.3,8.5,16.8,5.0,8.1,3.2,9.0,12.2,3.0,0.9,2.3,2001,1,4,48.6296746
Tim Hardaway,PG,34,MIA,77,2613,16.7,3.1,3.3,6.4,1.7,2.4,5.3,13.5,2.5,6.7,2.8,6.8,1.9,2.4,0.3,2.3,2.6,6.3,1.2,0.1,2001,0,11,21.0780488
Tim James,SF,24,CHH,30,197,5.8,-0.1,0.2,0.1,-6.8,-0.2,0.5,1.7,0.0,0.1,0.5,1.6,0.4,0.5,0.5,0.7,1.2,0.3,0.1,0.2,2001,0,2,-19.583537
Tim Thomas,PF,23,MIL,76,2086,16.4,3.7,1.7,5.5,0.7,1.4,4.3,10.0,1.4,3.4,2.9,6.6,2.6,3.3,1.0,3.1,4.1,1.8,1.0,0.6,2001,0,4,13.618166199999997
