Player,Pos,Age,Team,G,MP,PER,OWS,DWS,WS,BPM,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,Year,Allstar,Years_In_NBA,PR
Joe Wolf,C,23,LAC,42,1137,7.6,-1.1,1.1,0.1,-3.3,-0.4,3.2,8.0,0.1,0.4,3.2,7.6,1.1,1.3,1.2,3.2,4.5,2.3,0.9,0.4,1988,0,1,-5.3602157
John Stroeder,PF,29,MIL,41,271,7.0,-0.4,0.3,-0.1,-5.5,-0.2,0.7,1.9,0.0,0.0,0.7,1.9,0.5,0.7,0.6,1.1,1.7,0.5,0.1,0.3,1988,0,1,-18.729319
Kannard Johnson,SF,22,CLE,4,12,-4.6,-0.1,0.0,-0.1,-12.2,0.0,0.3,0.8,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1988,0,1,-27.981332000000002
Ken Norman,SF,23,LAC,66,1435,11.2,-0.8,1.4,0.6,-3.2,-0.4,3.7,7.6,0.0,0.2,3.7,7.4,1.3,2.6,1.5,2.5,4.0,1.2,0.7,0.5,1988,0,1,-3.3971123
Kenny Smith,PG,22,SAC,61,2170,13.3,1.6,0.6,2.2,-2.3,-0.2,5.4,11.4,0.2,0.6,5.2,10.7,2.7,3.3,0.7,1.6,2.3,7.1,1.5,0.1,1988,0,1,5.76504141
Kermit Washington,PF,36,GSW,6,56,12.9,0.0,0.1,0.1,-5.5,0.0,1.2,2.3,0.0,0.0,1.2,2.3,0.3,0.3,1.5,1.7,3.2,0.0,0.7,0.7,1988,0,1,-15.317723
Kevin Gamble,SF,22,POR,9,19,-1.0,-0.1,0.0,-0.1,-4.4,0.0,0.0,0.3,0.0,0.1,0.0,0.2,0.0,0.0,0.2,0.1,0.3,0.1,0.2,0.0,1988,0,1,-25.354748
Kevin Johnson,PG,21,TOT,80,1917,15.5,2.2,1.9,4.0,-0.7,0.6,3.4,7.5,0.1,0.3,3.4,7.2,2.2,2.6,0.5,1.9,2.4,5.5,1.3,0.3,1988,0,1,4.00638751
Lester Conner,PG,28,HOU,52,399,13.6,0.1,0.6,0.7,0.0,0.2,1.0,2.1,0.0,0.1,1.0,1.9,0.6,0.8,0.4,0.3,0.7,1.1,0.7,0.0,1988,0,1,-14.285967999999999
Mark Acres,C,25,BOS,79,1151,9.3,1.1,1.0,2.2,-1.0,0.3,1.4,2.6,0.0,0.0,1.4,2.6,0.9,1.4,1.3,2.1,3.4,0.5,0.4,0.3,1988,0,1,-8.6111549
Mark Jackson,PG,22,NYK,82,3249,15.7,3.5,4.2,7.6,2.8,3.9,5.3,12.4,0.4,1.5,5.0,10.8,2.5,3.2,1.5,3.4,4.8,10.6,2.5,0.1,1988,0,1,25.495884
Mark Wade,PG,22,GSW,11,123,4.5,-0.4,0.1,-0.3,-8.9,-0.2,0.3,1.8,0.0,0.2,0.3,1.6,0.2,0.4,0.3,1.1,1.4,3.1,0.6,0.1,1988,0,1,-20.678535999999998
Martin Nessley,C,22,TOT,44,336,2.8,-0.5,0.4,-0.1,-6.2,-0.4,0.5,1.2,0.0,0.0,0.5,1.2,0.2,0.4,0.5,1.3,1.9,0.4,0.2,0.3,1988,0,1,-20.188478
Michael Jackson,PG,23,SAC,58,760,7.8,-0.3,0.1,-0.2,-7.3,-1.0,1.1,2.9,0.1,0.4,1.0,2.5,0.4,0.6,0.3,0.7,1.0,3.1,0.3,0.1,1988,0,1,-16.596837
Milt Wagner,SG,24,LAL,40,380,10.4,0.1,0.2,0.4,-6.3,-0.4,1.6,3.7,0.1,0.3,1.5,3.4,0.7,0.7,0.1,0.6,0.7,1.5,0.2,0.1,1988,0,1,-16.611414
Muggsy Bogues,PG,23,WSB,79,1628,12.7,0.2,2.1,2.3,-1.3,0.3,2.1,5.4,0.0,0.2,2.1,5.2,0.7,0.9,0.4,1.3,1.7,5.1,1.6,0.0,1988,0,1,-3.5995217000000004
Nate Blackwell,PG,22,SAS,10,112,6.1,-0.1,0.0,-0.1,-8.6,-0.2,1.5,4.1,0.2,1.1,1.3,3.0,0.5,0.6,0.2,0.4,0.6,1.8,0.3,0.0,1988,0,1,-18.408772
Nikita Wilson,SF,23,POR,15,54,2.3,-0.2,0.0,-0.1,-13.0,-0.2,0.5,1.5,0.0,0.0,0.5,1.5,0.3,0.4,0.1,0.6,0.7,0.2,0.0,0.0,1988,0,1,-25.459982999999998
Norris Coleman,SF,26,LAC,29,431,6.6,-0.8,0.4,-0.4,-8.3,-0.7,2.3,6.6,0.0,0.1,2.2,6.5,0.7,1.2,1.2,1.6,2.8,0.4,0.4,0.2,1988,0,1,-14.862120999999998
Olden Polynice,C,23,SEA,82,1080,9.8,0.2,1.4,1.6,-3.3,-0.4,1.4,3.1,0.0,0.0,1.4,3.1,1.2,1.9,1.5,2.5,4.0,0.4,0.4,0.3,1988,0,1,-8.4299927
Petur Gudmundsson,C,29,SAS,69,1017,12.9,0.5,0.9,1.4,-2.1,0.0,2.0,4.1,0.0,0.0,2.0,4.0,1.7,2.1,1.3,3.3,4.7,1.2,0.3,0.9,1988,0,1,-5.1293811
Phil Zevenbergen,C,23,SAS,8,58,13.7,0.0,0.0,0.0,-4.0,0.0,1.9,3.4,0.0,0.0,1.9,3.4,0.0,0.3,0.5,1.1,1.6,0.4,0.4,0.1,1988,0,1,-17.461136
Ralph Lewis,SG,24,DET,50,310,5.6,-0.5,0.4,-0.1,-5.5,-0.3,0.5,1.7,0.0,0.0,0.5,1.7,0.6,1.0,0.3,0.7,1.0,0.3,0.3,0.1,1988,0,1,-19.532256
Ray Tolbert,PF,29,TOT,25,259,9.7,0.0,0.3,0.3,-3.1,-0.1,1.4,2.8,0.0,0.0,1.4,2.8,0.8,1.2,0.9,1.3,2.2,0.4,0.3,0.2,1988,0,1,-15.765691
Reggie Lewis,SG,22,BOS,49,405,14.3,0.1,0.4,0.4,-4.0,-0.2,1.8,3.9,0.0,0.1,1.8,3.9,0.8,1.2,0.6,0.7,1.3,0.5,0.3,0.3,1988,0,1,-13.749448000000001
Reggie Miller,SG,22,IND,82,1840,14.0,2.9,1.3,4.2,0.6,1.2,3.7,7.6,0.7,2.1,3.0,5.5,1.8,2.3,1.2,1.2,2.3,1.6,0.6,0.2,1988,0,1,5.25171493
Reggie Williams,SF,23,LAC,35,857,7.6,-1.8,0.7,-1.1,-5.4,-0.7,4.3,12.2,0.4,1.7,4.0,10.5,1.4,1.9,1.6,1.8,3.4,1.7,0.8,0.6,1988,0,1,-2.7433697999999995
Richard Rellford,SF,23,SAS,4,42,11.6,0.0,0.0,0.0,-5.4,0.0,1.3,2.0,0.0,0.0,1.3,2.0,1.5,2.0,0.5,1.3,1.8,0.3,0.0,0.8,1988,0,1,-16.901316
Rickie Winslow,SF,23,MIL,7,45,-3.4,-0.2,0.0,-0.2,-11.0,-0.1,0.4,1.9,0.0,0.1,0.4,1.7,0.1,0.3,0.4,0.6,1.0,0.3,0.1,0.0,1988,0,1,-25.696406
Ricky Wilson,PG,23,TOT,24,420,10.0,0.1,0.2,0.3,-4.2,-0.2,1.8,4.6,0.4,1.1,1.4,3.5,1.2,1.7,0.1,1.0,1.1,2.9,1.0,0.1,1988,0,1,-10.812948
Ron Moore,C,26,TOT,14,59,2.0,-0.2,0.1,-0.1,-12.0,-0.1,0.6,2.1,0.0,0.0,0.6,2.1,0.4,0.6,0.1,0.4,0.6,0.1,0.4,0.0,1988,0,1,-24.114520000000002
Ronnie Murphy,SF,23,POR,18,89,2.9,-0.3,0.1,-0.2,-10.7,-0.2,0.8,2.7,0.1,0.2,0.7,2.5,0.4,0.6,0.3,0.3,0.6,0.3,0.3,0.1,1988,0,1,-22.353973999999997
Scott Roth,SF,24,UTA,26,201,10.1,0.0,0.3,0.3,-2.2,0.0,1.2,2.8,0.1,0.4,1.1,2.4,0.8,1.2,0.3,0.8,1.1,0.6,0.5,0.0,1988,0,1,-16.010478
Scottie Pippen,SF,22,CHI,79,1650,12.9,-0.4,2.6,2.3,0.2,0.9,3.3,7.1,0.1,0.3,3.3,6.8,1.3,2.2,1.5,2.3,3.8,2.1,1.2,0.7,1988,0,1,2.20541309
Sedric Toney,PG,25,NYK,21,139,12.8,0.1,0.2,0.3,-2.3,0.0,1.0,2.3,0.2,0.7,0.8,1.6,0.5,0.5,0.1,0.2,0.4,1.1,0.4,0.0,1988,0,1,-16.824729
Steve Alford,PG,23,DAL,28,197,11.6,0.0,0.3,0.3,-0.8,0.1,0.8,2.0,0.0,0.3,0.7,1.7,0.6,0.6,0.1,0.7,0.8,0.8,0.6,0.1,1988,0,1,-16.779343
Steve Burtt,SG,25,LAC,19,312,10.2,-0.4,0.2,-0.1,-6.2,-0.3,3.3,7.3,0.0,0.2,3.3,7.1,2.5,3.6,0.3,1.1,1.4,2.0,0.5,0.3,1988,0,1,-10.764992
Tellis Frank,PF,22,GSW,78,1597,10.2,-0.3,0.9,0.6,-4.1,-0.8,3.1,7.2,0.0,0.0,3.1,7.2,1.9,2.7,1.2,3.0,4.2,1.4,0.7,0.3,1988,0,1,-4.2720172
Tod Murphy,PF,24,LAC,1,19,15.7,0.1,0.0,0.1,1.3,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,1988,0,1,-11.565779
Tony White,PG,22,TOT,49,581,9.4,-0.4,0.1,-0.3,-7.5,-0.8,2.3,5.1,0.0,0.1,2.3,5.0,0.8,1.1,0.2,0.4,0.6,1.2,0.4,0.0,1988,0,1,-16.401066
Vincent Askew,SG,21,PHI,14,234,7.1,-0.4,0.2,-0.2,-5.9,-0.2,1.6,5.3,0.0,0.0,1.6,5.3,0.6,0.8,0.4,1.1,1.6,2.4,0.7,0.4,1988,0,1,-15.790759
Winston Crite,SF,22,PHO,29,258,9.8,0.0,0.2,0.1,-3.8,-0.1,1.2,2.3,0.0,0.0,1.2,2.3,0.7,0.9,0.9,1.3,2.2,0.5,0.2,0.3,1988,0,1,-16.450509
Winston Garland,PG,23,GSW,67,2122,13.8,0.8,0.9,1.7,-1.2,0.4,5.1,11.6,0.2,0.6,4.9,11.0,2.1,2.3,1.0,2.4,3.4,6.4,1.7,0.1,1988,0,1,6.5782755
Andrew Lang,C,22,PHO,62,526,11.6,0.4,0.9,1.4,-0.3,0.2,1.0,1.9,0.0,0.0,1.0,1.9,0.6,1.0,0.9,1.5,2.4,0.1,0.3,0.8,1989,0,1,-11.419413
Anthony Bowie,SG,25,SAS,18,438,10.6,0.2,0.3,0.5,-2.5,-0.1,4.0,8.0,0.1,0.3,3.9,7.7,0.6,0.8,1.4,1.7,3.1,1.6,1.0,0.2,1989,0,1,-7.8488337
Anthony Frederick,SF,24,IND,46,313,11.9,0.0,0.2,0.2,-3.3,-0.1,1.4,2.7,0.0,0.1,1.3,2.6,0.5,0.7,0.6,0.6,1.1,0.4,0.3,0.1,1989,0,1,-15.902819000000001
Anthony Taylor,PG,23,MIA,21,368,11.1,-0.1,0.3,0.2,-3.8,-0.2,2.9,7.2,0.0,0.1,2.9,7.1,1.1,1.5,0.5,1.1,1.6,2.0,1.0,0.2,1989,0,1,-10.834909
