Player,Pos,Age,Team,G,MP,PER,OWS,DWS,WS,BPM,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,Year,Allstar,Years_In_NBA,PR
Brandon Ingram,SF,19,LAL,79,2279,8.5,-1.0,0.7,-0.3,-3.8,-1.1,3.5,8.7,0.7,2.4,2.8,6.3,1.7,2.7,0.8,3.2,4.0,2.1,0.6,0.5,2017,0,1,-0.108076
Brandon Ingram,SF,20,LAL,59,1975,13.8,1.0,1.8,2.8,-1.3,0.4,6.1,12.9,0.7,1.8,5.4,11.1,3.3,4.8,1.0,4.4,5.3,3.9,0.8,0.7,2018,0,2,16.6038209
